Payment_ID,Subscription_ID,Customer_ID,Payment_Date,Payment_Method,Amount
PAY000000001,SU00000001,CU000001,2022-01-21,Cash,135.0
PAY000000002,SU00000002,CU000001,2023-01-21,Cash,135.0
PAY000000003,SU00000003,CU000001,2024-01-22,Cash,180.0
PAY000000004,SU00000004,CU000001,2022-03-23,Cash,135.0
PAY000000005,SU00000005,CU000001,2023-03-28,Debit Card,135.0
PAY000000006,SU00000006,CU000001,2024-03-21,Cash,135.0
PAY000000007,SU00000007,CU000002,2022-01-04,PayPal,180.0
PAY000000008,SU00000008,CU000002,2023-01-04,Debit Card,180.0
PAY000000009,SU00000009,CU000002,2024-01-04,Debit Card,180.0
PAY000000010,SU00000010,CU000002,2022-05-15,Debit Card,90.0
PAY000000011,SU00000011,CU000002,2023-05-15,Debit Card,90.0
PAY000000012,SU00000012,CU000002,2024-05-14,Debit Card,135.0
PAY000000013,SU00000013,CU000002,2022-07-27,Debit Card,135.0
PAY000000014,SU00000014,CU000002,2023-07-27,Debit Card,135.0
PAY000000015,SU00000015,CU000002,2024-07-26,Debit Card,135.0
PAY000000016,SU00000016,CU000003,2022-01-15,Bank Transfer,15.0
PAY000000017,SU00000017,CU000003,2022-02-12,Credit Card,15.0
PAY000000018,SU00000018,CU000003,2022-03-12,Bank Transfer,15.0
PAY000000019,SU00000019,CU000003,2022-04-09,Debit Card,135.0
PAY000000020,SU00000020,CU000003,2023-04-09,Bank Transfer,135.0
PAY000000021,SU00000021,CU000003,2024-04-08,Bank Transfer,135.0
PAY000000022,SU00000022,CU000004,2022-01-03,Debit Card,135.0
PAY000000023,SU00000023,CU000004,2023-01-03,Debit Card,135.0
PAY000000024,SU00000024,CU000004,2024-01-03,Debit Card,135.0
PAY000000025,SU00000025,CU000005,2022-01-16,Cash,135.0
PAY000000026,SU00000026,CU000005,2023-01-14,Cash,135.0
PAY000000027,SU00000027,CU000005,2024-01-15,Cash,180.0
PAY000000028,SU00000028,CU000006,2022-01-05,Credit Card,90.0
PAY000000029,SU00000029,CU000006,2023-01-05,Credit Card,90.0
PAY000000030,SU00000030,CU000006,2024-01-05,Credit Card,90.0
PAY000000031,SU00000031,CU000007,2022-01-22,Credit Card,90.0
PAY000000032,SU00000032,CU000007,2023-01-22,Credit Card,90.0
PAY000000033,SU00000033,CU000007,2024-01-22,Credit Card,90.0
PAY000000034,SU00000034,CU000008,2022-01-04,Debit Card,180.0
PAY000000035,SU00000035,CU000008,2022-12-30,Cash,180.0
PAY000000036,SU00000036,CU000009,2022-01-29,Credit Card,10.0
PAY000000037,SU00000037,CU000009,2022-02-26,Debit Card,10.0
PAY000000038,SU00000038,CU000009,2022-03-26,Credit Card,10.0
PAY000000039,SU00000039,CU000009,2022-04-23,Credit Card,10.0
PAY000000040,SU00000040,CU000009,2022-05-21,Debit Card,90.0
PAY000000041,SU00000041,CU000009,2023-05-21,Credit Card,90.0
PAY000000042,SU00000042,CU000009,2024-05-20,Credit Card,90.0
PAY000000043,SU00000043,CU000010,2022-01-20,Cash,15.0
PAY000000044,SU00000044,CU000010,2022-02-19,Cash,135.0
PAY000000045,SU00000045,CU000010,2023-02-19,Cash,135.0
PAY000000046,SU00000046,CU000010,2024-02-17,Cash,135.0
PAY000000047,SU00000047,CU000010,2025-02-23,Credit Card,135.0
PAY000000048,SU00000048,CU000011,2022-01-09,Bank Transfer,90.0
PAY000000049,SU00000049,CU000011,2023-01-09,Credit Card,90.0
PAY000000050,SU00000050,CU000011,2024-01-09,Bank Transfer,135.0
PAY000000051,SU00000051,CU000012,2022-01-20,Cash,10.0
PAY000000052,SU00000052,CU000012,2022-02-15,Cash,10.0
PAY000000053,SU00000053,CU000012,2022-03-17,Cash,10.0
PAY000000054,SU00000054,CU000012,2022-04-14,Cash,10.0
PAY000000055,SU00000055,CU000012,2022-05-17,Bank Transfer,10.0
PAY000000056,SU00000056,CU000012,2022-06-14,Credit Card,10.0
PAY000000057,SU00000057,CU000012,2022-07-12,Debit Card,90.0
PAY000000058,SU00000058,CU000012,2023-07-05,Cash,90.0
PAY000000059,SU00000059,CU000012,2024-07-06,Cash,90.0
PAY000000060,SU00000060,CU000013,2022-01-18,Credit Card,20.0
PAY000000061,SU00000061,CU000013,2022-02-15,Credit Card,20.0
PAY000000062,SU00000062,CU000013,2022-03-15,Credit Card,20.0
PAY000000063,SU00000063,CU000013,2022-04-12,Credit Card,20.0
PAY000000064,SU00000064,CU000013,2022-05-10,Credit Card,20.0
PAY000000065,SU00000065,CU000013,2022-06-07,Credit Card,20.0
PAY000000066,SU00000066,CU000013,2022-07-05,Credit Card,180.0
PAY000000067,SU00000067,CU000013,2023-07-05,Credit Card,180.0
PAY000000068,SU00000068,CU000013,2024-07-04,Bank Transfer,180.0
PAY000000069,SU00000069,CU000014,2022-01-13,Cash,135.0
PAY000000070,SU00000070,CU000014,2023-01-11,Cash,180.0
PAY000000071,SU00000071,CU000014,2024-01-11,Cash,180.0
PAY000000072,SU00000072,CU000014,2022-03-29,Cash,90.0
PAY000000073,SU00000073,CU000014,2023-04-03,Credit Card,90.0
PAY000000074,SU00000074,CU000015,2021-12-31,Cash,10.0
PAY000000075,SU00000075,CU000015,2022-01-27,Cash,90.0
PAY000000076,SU00000076,CU000015,2023-01-28,Cash,135.0
PAY000000077,SU00000077,CU000015,2024-01-27,Cash,135.0
PAY000000078,SU00000078,CU000015,2025-01-26,Cash,180.0
PAY000000079,SU00000079,CU000015,2022-03-24,Cash,90.0
