subscription_id,customer_id,phone_id,plan_id,start_date,end_date
SU00000001,CU000001,PH000001,PL0004,2022/1/28,2023/1/27
SU00000002,CU000001,PH000001,PL0004,2023/1/28,2024/1/27
SU00000003,CU000001,PH000001,PL0006,2024/1/28,2025/1/26
SU00000004,CU000001,PH000002,PL0004,2022/3/28,2023/3/27
SU00000005,CU000001,PH000002,PL0004,2023/3/28,2024/3/26
SU00000006,CU000001,PH000002,PL0004,2024/3/27,2025/3/26
SU00000007,CU000002,PH000003,PL0006,2022/1/4,2023/1/3
SU00000008,CU000002,PH000003,PL0006,2023/1/4,2024/1/3
SU00000009,CU000002,PH000003,PL0006,2024/1/4,2025/1/2
SU00000010,CU000002,PH000004,PL0002,2022/5/15,2023/5/14
SU00000011,CU000002,PH000004,PL0002,2023/5/15,2024/5/13
SU00000012,CU000002,PH000004,PL0004,2024/5/14,2025/5/13
SU00000013,CU000002,PH000005,PL0004,2022/7/27,2023/7/26
SU00000014,CU000002,PH000005,PL0004,2023/7/27,2024/7/25
SU00000015,CU000002,PH000005,PL0004,2024/7/26,2025/7/25
SU00000016,CU000003,PH000006,PL0003,2022/1/15,2022/2/11
SU00000017,CU000003,PH000006,PL0003,2022/2/12,2022/3/11
SU00000018,CU000003,PH000006,PL0003,2022/3/12,2022/4/8
SU00000019,CU000003,PH000006,PL0004,2022/4/9,2023/4/8
SU00000020,CU000003,PH000006,PL0004,2023/4/9,2024/4/7
SU00000021,CU000003,PH000006,PL0004,2024/4/8,2025/4/7
SU00000022,CU000004,PH000007,PL0004,2022/1/3,2023/1/2
SU00000023,CU000004,PH000007,PL0004,2023/1/3,2024/1/2
SU00000024,CU000004,PH000007,PL0004,2024/1/3,2025/1/1
SU00000025,CU000005,PH000008,PL0004,2022/1/21,2023/1/20
SU00000026,CU000005,PH000008,PL0004,2023/1/21,2024/1/20
SU00000027,CU000005,PH000008,PL0006,2024/1/21,2025/1/19
SU00000028,CU000006,PH000009,PL0002,2022/1/5,2023/1/4
SU00000029,CU000006,PH000009,PL0002,2023/1/5,2024/1/4
SU00000030,CU000006,PH000009,PL0002,2024/1/5,2025/1/3
SU00000031,CU000007,PH000010,PL0002,2022/1/22,2023/1/21
SU00000032,CU000007,PH000010,PL0002,2023/1/22,2024/1/21
SU00000033,CU000007,PH000010,PL0002,2024/1/22,2025/1/20
SU00000034,CU000008,PH000011,PL0006,2022/1/4,2023/1/3
SU00000035,CU000008,PH000011,PL0006,2023/1/4,2024/1/3
SU00000036,CU000009,PH000012,PL0001,2022/1/29,2022/2/25
SU00000037,CU000009,PH000012,PL0001,2022/2/26,2022/3/25
SU00000038,CU000009,PH000012,PL0001,2022/3/26,2022/4/22
SU00000039,CU000009,PH000012,PL0001,2022/4/23,2022/5/20
SU00000040,CU000009,PH000012,PL0002,2022/5/21,2023/5/20
SU00000041,CU000009,PH000012,PL0002,2023/5/21,2024/5/19
SU00000042,CU000009,PH000012,PL0002,2024/5/20,2025/5/19
SU00000043,CU000010,PH000013,PL0003,2022/1/27,2022/2/23
SU00000044,CU000010,PH000013,PL0004,2022/2/24,2023/2/23
SU00000045,CU000010,PH000013,PL0004,2023/2/24,2024/2/23
SU00000046,CU000010,PH000013,PL0004,2024/2/24,2025/2/22
SU00000047,CU000010,PH000013,PL0004,2025/2/23,2026/2/22
