request_id,customer_id,open_time,closed_time,request_type,csr_id
RQ00000001,CU001987,2024-09-25 11:31:00,2024-09-25 12:55:28.868931,General Inquiry,CSR011
RQ00000002,CU000678,2024-10-27 23:03:00,2024-10-28 03:30:37.945737,Service & Account Management,CSR015
RQ00000003,CU001492,2024-08-05 19:29:00,2024-08-06 01:47:29.955803,Security & Fraud,CSR011
RQ00000004,CU000247,2024-02-18 01:56:00,2024-02-18 03:17:28.649187,Service & Account Management,CSR003
RQ00000005,CU000225,2024-09-05 03:21:00,2024-09-07 20:06:32.222078,Technical Support,CSR006
RQ00000006,CU001650,2024-08-10 21:23:00,2024-08-11 00:27:37.408963,Service & Account Management,CSR009
RQ00000007,CU000408,2024-02-02 07:34:00,2024-02-02 08:19:05.855844,General Inquiry,CSR005
RQ00000008,CU000785,2024-10-22 03:34:00,2024-10-22 04:55:16.202974,General Inquiry,CSR013
RQ00000009,CU000502,2024-03-02 13:02:00,2024-03-02 14:16:45.234511,General Inquiry,CSR013
RQ00000010,CU002383,2024-06-08 09:21:00,2024-06-08 09:58:39.662550,General Inquiry,CSR005
RQ00000011,CU002143,2024-12-27 02:19:00,2024-12-27 03:28:50.632531,Service & Account Management,CSR002
RQ00000012,CU001187,2024-06-17 05:08:00,2024-06-17 08:36:56.651378,Service & Account Management,CSR014
RQ00000013,CU001036,2024-04-28 07:43:00,2024-04-28 12:16:03.550595,Service & Account Management,CSR003
RQ00000014,CU001399,2024-11-05 09:13:00,2024-11-09 10:13:41.365493,Technical Support,CSR001
RQ00000015,CU000497,2024-05-27 04:07:00,2024-05-27 04:48:44.232786,General Inquiry,CSR010
RQ00000016,CU002422,2024-04-12 12:18:00,2024-04-12 12:46:53.091708,General Inquiry,CSR005
RQ00000017,CU001267,2024-06-02 17:14:00,2024-06-04 10:22:01.055047,Security & Fraud,CSR015
RQ00000018,CU000516,2024-12-01 07:32:00,2024-12-01 10:03:44.692611,Service & Account Management,CSR006
RQ00000019,CU000393,2024-11-28 07:39:00,2024-11-28 08:33:15.586529,Service & Account Management,CSR015
RQ00000020,CU001280,2024-06-07 05:28:00,2024-06-08 15:20:27.237423,Security & Fraud,CSR015
RQ00000021,CU001617,2024-10-12 13:53:00,2024-10-12 15:34:19.336570,General Inquiry,CSR003
RQ00000022,CU001166,2024-07-23 03:59:00,2024-07-23 11:57:07.715263,Security & Fraud,CSR009
RQ00000023,CU001210,2024-06-20 05:21:00,2024-06-25 22:50:50.125920,Technical Support,CSR014
RQ00000024,CU001652,2024-07-25 17:44:00,2024-07-25 19:18:20.028756,Service & Account Management,CSR013
RQ00000025,CU002051,2024-08-12 12:12:00,2024-08-14 15:54:06.561453,Technical Support,CSR012
RQ00000026,CU002290,2024-04-26 21:46:00,2024-04-27 21:54:18.614172,Security & Fraud,CSR001
RQ00000027,CU000298,2024-07-21 04:29:00,2024-07-21 06:06:44.841899,General Inquiry,CSR013
RQ00000028,CU000332,2024-03-28 01:23:00,2024-03-29 09:20:14.868052,Security & Fraud,CSR006
RQ00000029,CU001896,2024-01-26 08:10:00,2024-01-31 20:46:29.946981,Technical Support,CSR006
RQ00000030,CU000437,2024-08-11 02:30:00,2024-08-11 03:51:29.088799,Service & Account Management,CSR009
RQ00000031,CU000646,2024-01-02 18:48:00,2024-01-02 18:54:23.532764,General Inquiry,CSR014
RQ00000032,CU001405,2024-12-16 08:52:00,2024-12-20 17:54:56.595389,Technical Support,CSR011
RQ00000033,CU001090,2024-12-02 07:38:00,2024-12-02 07:54:51.203285,General Inquiry,CSR001
RQ00000034,CU000469,2024-04-02 11:06:00,2024-04-02 16:14:06.752895,Service & Account Management,CSR013
RQ00000035,CU001422,2024-11-25 19:50:00,2024-12-01 03:12:42.596531,Technical Support,CSR007
RQ00000036,CU000921,2024-03-02 20:12:00,2024-03-02 20:41:22.334097,General Inquiry,CSR006
RQ00000037,CU001974,2024-08-04 00:57:00,2024-08-04 01:47:27.005953,General Inquiry,CSR007
RQ00000038,CU001127,2024-06-01 07:05:00,2024-06-01 10:34:18.843540,Billing & Payments,CSR010
RQ00000039,CU001399,2024-11-27 19:29:00,2024-11-30 07:25:21.918496,Technical Support,CSR009
RQ00000040,CU000990,2024-02-04 15:17:00,2024-02-04 16:14:09.815737,Service & Account Management,CSR014
RQ00000041,CU002304,2024-06-05 23:56:00,2024-06-06 05:37:56.973601,Service & Account Management,CSR011
RQ00000042,CU000733,2024-06-04 21:05:00,2024-06-05 02:22:22.941285,Service & Account Management,CSR008
RQ00000043,CU001925,2024-10-08 10:16:00,2024-10-08 12:12:07.129380,General Inquiry,CSR003
RQ00000044,CU002327,2024-10-27 03:59:00,2024-10-29 03:10:28.833313,Security & Fraud,CSR006
RQ00000045,CU002203,2024-08-27 01:58:00,2024-08-27 04:40:45.023997,Service & Account Management,CSR011
